,Scarborough Health Network - Centenary Hospital,Centre For Addiction and Mental Health - Queen Street Site,Sunnybrook Health Sciences Centre - Bayview Campus,Toronto Western Hospital,St. Joseph's Health Centre,Michael Garron Hospital,Etobicoke General Hospital,Humber River Hospital,Scarborough Health Network - General Campus,Scarborough Health Network - Birchmount Hospital,North York General Hospital,Toronto General Hospital,Hospital for Sick Children,Mount Sinai Hospital,Centre For Addiction and Mental Health - College Street Site,St. Michael's Hospital
M3J,26548.67300000002,16481.84399999999,13216.096999999994,15878.007,15317.106999999996,20047.800999999996,10569.897000000003,5341.850000000001,23751.918999999998,15803.153000000004,11929.903000000004,16950.329999999998,17328.542,17010.101,16009.611,18289.178
M3K,22875.34400000001,11846.027999999993,9018.395999999995,11558.472999999996,12015.211999999996,15817.384000000002,12329.823000000008,2067.6130000000003,19635.211999999996,17668.399,10668.338000000002,12630.795999999993,13009.007999999994,12690.566999999994,11690.076999999997,13969.644000000002
M9R,33129.959,14708.357999999998,16290.458000000002,15623.552999999994,12350.573999999997,21401.06499999999,6973.215000000002,8547.212000000003,27969.410000000007,27529.873999999996,20529.813,16906.93899999999,17285.150999999994,16966.709999999992,16066.388999999992,18041.95699999999
M9V,34437.178,19598.457000000013,20457.873000000007,20427.85500000001,17820.612,26062.738999999998,1854.0189999999998,9697.303999999998,31197.046,24685.945000000014,20655.698999999993,21711.241000000016,22089.45300000002,21771.012000000017,20870.691000000017,22846.25900000002
M9W,34164.100000000006,18424.257,19305.391,19253.655,16500.085,24888.538999999986,2981.682,9629.023999999998,30923.968000000004,28564.015,21563.954,20537.041000000005,20915.253000000008,20596.812000000005,19696.491000000005,21672.05900000001
M3M,25646.951,14009.847999999996,11790.002999999997,14196.365999999987,12360.011999999995,18588.126999999997,10496.774000000005,1295.925,22406.818999999992,20028.594000000012,13439.944999999998,15268.688999999984,15646.900999999985,15328.459999999985,14327.969999999988,16607.536999999993
M3N,28848.527000000013,16930.344,15413.009999999998,17759.742000000006,15152.499,22244.714,7616.6269999999995,5709.457000000001,25948.832000000006,18282.85400000001,14252.608000000006,18920.745000000006,19298.95700000001,18980.516000000007,17980.025999999998,20178.146000000008
M4W,21756.054999999997,7562.277,5585.241000000002,5364.128000000001,9610.667999999998,5972.723000000001,22814.572999999993,14019.466999999999,15976.661000000004,18046.43,11512.487000000003,4060.849999999999,3897.5179999999996,4118.669,4553.168000000001,4080.5879999999997
M4X,21826.38199999999,6289.534000000001,8071.890000000002,4056.1359999999995,8490.342999999999,5279.611000000002,23481.11599999999,15356.940999999997,16259.881999999996,19454.73400000001,13999.136000000004,2690.2759999999994,2525.451,2747.463,3408.74,2667.465
M4Y,22652.203999999998,5241.614999999999,7919.442000000002,3006.7239999999997,7440.930999999999,6105.433,22323.313999999995,14199.138999999994,17085.704,20280.556000000008,13927.896000000004,1640.8640000000003,1477.532,1698.6829999999998,2359.328,1666.538
M5N,22176.05000000001,9100.692999999997,4395.576000000001,7162.518999999998,11149.083999999997,9956.518999999998,17790.734,8052.471999999998,16820.178000000004,17423.993999999995,10403.563999999998,7307.771000000002,7685.983000000001,7367.542000000001,7184.012000000003,8364.307999999999
M4V,22957.596000000005,6635.547,6500.072000000001,4697.373,8683.937999999998,8570.728,19557.627999999997,10984.759000000002,17178.202000000005,19247.97100000001,12611.171000000002,3896.2779999999993,4274.49,3956.0489999999995,4055.627,5235.125999999999
M5P,22754.778000000002,7501.614999999999,6016.262,5563.441,9550.005999999998,8765.964999999998,18331.496000000006,9480.077,16975.384000000002,19045.153000000006,12099.218000000003,5042.850000000003,5421.062000000003,5102.621000000003,4934.336000000001,6381.697999999999
M5R,24212.50800000001,5093.924999999999,7932.993000000001,2937.6989999999996,7142.315999999998,7665.736999999999,20049.280999999995,11925.105999999994,18611.123000000003,20680.892000000007,14044.092000000004,2491.379,2869.5910000000003,2551.15,2127.1069999999995,4061.715
M5S,23989.978000000006,3882.9610000000002,9177.819999999996,1684.812,5931.352000000001,7443.206999999999,21303.563999999995,13179.388999999992,18423.47800000001,21618.330000000005,15261.164000000002,1245.692,1623.9040000000002,1305.4630000000002,873.852,2858.313
M5T,24994.648999999998,2461.5449999999996,10604.130000000001,969.43,5028.191,8623.365,21420.37699999999,14141.222999999994,19428.149,22798.48800000001,16663.886,1203.645,1321.2179999999998,1143.952,721.8789999999999,2029.6879999999999
